"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","273","TC-BLOG-04: Admin update blog","","2026-08-24","passed","2026-08-24","📝 Content Management (Blogs, Pages, FAQs, Privacy Policy)","","",""
"","366","ADMIN_PACKAGE-ADVERTISEMENTS-1-SEC-SQL: [Security] Get all package advertisements should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for admin_package-advertisements","","",""
"","232","WEB_ADMIN-119-SEC-SQL: [Security] Reject commission should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","194","HOME-1-NEG-AUTH: [Negative/Auth] Customer Home API should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for home","","",""
"","292","WEB_ADMIN-104-POS-PERF: [Positive/Perf] Get Create Role Data should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","229","TC-PAG-03 [EDGE] /api/v1/web/admin/users page=0 → not 500","","2026-08-24","passed","2026-08-24","📄 Pagination Tests — Admin Endpoints","","",""
"","231","TC-CAT-05 [POSITIVE] Delete category → not 500","","2026-08-24","passed","2026-08-24","✅ Admin Categories — Functional Tests","","",""
"","199","TC-VC-BV-05 [BOUNDARY] Negative code value → not 200 / not 500","","2026-08-24","passed","2026-08-24","📏 Verify Code — Boundary Values","","",""
"","217","TC-CAT-CREATE-VAL-zeroValue: Admin create category missing/invalid fields (Zero)","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","191","WEB_ADMIN-122-NEG-AUTH: [Negative/Auth] Get Today Operations Statistics should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","376","THANKS-1-SEC-SQL: [Security] Tap payment redirect landing page should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for thanks","","",""
"","807","TC-01: Should update password with valid data (authenticated)","","2026-08-24","passed","2026-08-24","Update Password API Tests","","",""
"","192","WEB_ADMIN-37-NEG-AUTH: [Negative/Auth] List Doctors should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","234","TC-BLOG-CREATE-SEC-xssImg: Admin create blog post SQLi/XSS (XSS Image Error)","","2026-08-24","passed","2026-08-24","📝 Content Management (Blogs, Pages, FAQs, Privacy Policy)","","",""
"","298","TC-SALON-GET-SEC-xssImg: Admin get salon by SQLi/XSS ID (XSS Image Error)","","2026-08-24","passed","2026-08-24","💇 Salons","","",""
"","248","SALON_SERVICES-3-SEC-SQL: [Security] Delete service (mobile) should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for salon_services","","",""
"","191","TC-WALLET-01: User get wallet balance","","2026-08-24","passed","2026-08-24","💰 Financial - Banks, Wallet & Cards","","",""
"","191","WEB_ADMIN-60-NEG-AUTH: [Negative/Auth] Assign order to another salon should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","232","TC-OVERVIEW: Rejected Orders Stats","","2026-08-24","passed","2026-08-24","📊 Admin / Overview","","",""
"","193","TC-REG-VAL-01: [Validation] Registration fails on invalid email format","","2026-08-24","passed","2026-08-24","Exhaustive Registration Tests","","",""
"","187","TC-RBAC-IT-07 [INVALID-TOKEN] Very long token string (5000 chars) → not 500","","2026-08-24","passed","2026-08-24","❌ Invalid Token Variants → 401 on Protected Endpoints","","",""
"","264","TC-OVERVIEW: Salon Statistics","","2026-08-24","passed","2026-08-24","📊 Admin / Overview","","",""
"","219","TC-CAT-CREATE-VAL-undefinedValue: Admin create category missing/invalid fields (Undefined Value)","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","247","TC-FILEGALLERY-CREATE-SEC-noSqlInjection2: Admin file gallery SQLi/XSS (NoSQLi Greater Than)","","2026-08-24","passed","2026-08-24","💸 Payouts, Commissions & File Management","","",""
"","247","TC-SS-13 [SECURITY] SQL inject in service ID path → not 500","","2026-08-24","passed","2026-08-24","💇 Salon Services — Tests","","",""
"","188","WEB_SALON-26-NEG-AUTH: [Negative/Auth] Restore a deleted gallery image should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_salon","","",""
"","189","TC-SEC-XSS-REG-06 XSS in registration fname: ""{{constructor.constructor(""ale""","","2026-08-24","passed","2026-08-24","⚡ XSS Injection Tests — Input Fields","","",""
"","355","TC-SRH-04 [VALID] Search with no results (random string) → 200 empty","","2026-08-24","passed","2026-08-24","🔍 Search & Filter Tests","","",""
"","188","TC-RBAC-NT-Admin users → 401 without token","","2026-08-24","passed","2026-08-24","🔒 No Token → Protected Endpoints (Must be 401)","","",""
"","190","WEB_ADMIN-57-NEG-AUTH: [Negative/Auth] Restore a deleted order should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","206","TC-FILEGALLERY-02: Admin get file galleries by table/field","","2026-08-24","passed","2026-08-24","💸 Payouts, Commissions & File Management","","",""
"","228","TC-ADMIN-CREATE-VAL-booleanTrue: Create admin invalid email (Boolean True (wrong type))","","2026-08-24","passed","2026-08-24","👑 Admin / Admins Management","","",""
"","435","TC-ADMIN-ORDER-CART-SEC-xssBasic: Admin list carts SQLi/XSS in limit (XSS Basic Script)","","2026-08-24","passed","2026-08-24","📦 Orders, Addresses & Disputes","","",""
"","216","TC-ADMIN-GET-SEC-sqlInjection1: Admin get admin by SQLi/XSS ID (SQLi Boolean Base)","","2026-08-24","passed","2026-08-24","👑 Admin / Admins Management","","",""
"","193","GUEST_SERVICES-1-BND-PAG: [Boundary] Public service listing should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for guest_services","","",""
"","258","TC-08: Should create new blog","","2026-08-24","passed","2026-08-24","Admin - Blogs Tests","","",""
"","189","ADMIN_PROMOCODES-1-NEG-AUTH: [Negative/Auth] List all promocodes (paginated) should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for admin_promocodes","","",""
"","196","SALON_SERVICES-1-NEG-AUTH: [Negative/Auth] List own services should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for salon_services","","",""
"","215","TC-PAG-03 [EDGE] /api/v1/web/admin/services page=0 → not 500","","2026-08-24","passed","2026-08-24","📄 Pagination Tests — Admin Endpoints","","",""
"","814","TC-RT-01 [POSITIVE] Valid refresh token → new access + refresh tokens","","2026-08-24","passed","2026-08-24","✅ User Refresh Token — Functional","","",""
"","193","TC-MP-07 [INVALID] String as port → not 500","","2026-08-24","passed","2026-08-24","📧 Admin Mail Provider Settings — Tests","","",""
"","230","TC-CAT-SEC-SQL-02 [SECURITY] SQL inject category name: ""' OR 1=1--""","","2026-08-24","passed","2026-08-24","🛡️ Admin Categories — Security Tests","","",""
"","197","TC-VC-BV-01 [BOUNDARY] Very long code (100 digits) → not 200 / not 500","","2026-08-24","passed","2026-08-24","📏 Verify Code — Boundary Values","","",""
"","211","TC-PKG-CREATE-SEC-noSqlInjection1: Salon create package SQLi/XSS (NoSQLi Not Equal)","","2026-08-24","passed","2026-08-24","🎁 Offers, Packages & Promocodes","","",""
"","189","TC-SEC-XSS-REG-02 XSS in registration fname: """"><script>alert(1)</script>""","","2026-08-24","passed","2026-08-24","⚡ XSS Injection Tests — Input Fields","","",""
"","191","TC-CS-SEC-SQL-2 [SECURITY] SQL inject connection: ""' OR 1=1--""","","2026-08-24","passed","2026-08-24","🔌 Admin Connection Settings — Tests","","",""
"","190","WEB_ADMIN-119-NEG-AUTH: [Negative/Auth] Reject commission should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","192","TC-12: Should soft delete an order","","2026-08-24","passed","2026-08-24","Admin - Order Status Actions Tests","","",""
"","529","TC-L-SEC-SQLP-03 [SECURITY] SQL injection in password: ""'; DROP TABLE users;--""","","2026-08-24","passed","2026-08-24","🛡️ Admin Login — Security Tests","","",""
"","193","TC-RV-SCHEMA-02 Admin login failure response has correct error schema","","2026-08-24","passed","2026-08-24","📐 Response Schema Validation","","",""
"","249","TC-CAT-CREATE-VAL-negativeNumber: Admin create category missing/invalid fields (Negative Number)","","2026-08-24","passed","2026-08-24","🗂️ Categories, Type Services & Services","","",""
"","230","TC-PAG-04 [EDGE] /api/v1/web/admin/services page=-1 → not 500","","2026-08-24","passed","2026-08-24","📄 Pagination Tests — Admin Endpoints","","",""
"","189","ADMIN_PACKAGE-ADVERTISEMENTS-1-NEG-AUTH: [Negative/Auth] Get all package advertisements should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for admin_package-advertisements","","",""
"","188","TC-09: Should set salon VIP status","","2026-08-24","passed","2026-08-24","Admin - Salon CRUD Tests","","",""
"","192","GUEST_PACKAGES-2-BND-PAG: [Boundary] Get package details (guest) should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for guest_packages","","",""
"","248","TC-ADDR-04: User update address","","2026-08-24","passed","2026-08-24","📦 Orders, Addresses & Disputes","","",""
"","242","WEB_ADMIN-6-BND-PAG: [Boundary] List Users should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","1114","TC-ARCH-06: [E2E] Full Application Flow (OTP Login -> Profile -> Fetch Services)","","2026-08-24","passed","2026-08-24","Advanced Architectural Tests (Controlled)","","",""
"","241","TC-SALON-PROF-SEC-noSqlInjection1: Update salon profile SQLi/XSS in fname (NoSQLi Not Equal)","","2026-08-24","passed","2026-08-24","💇 Salons","","",""
"","191","WEB_ADMIN-93-NEG-AUTH: [Negative/Auth] Toggle block unknown clients should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","204","WEB_SALON-23-SEC-SQL: [Security] Delete package should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_salon","","",""
"","191","WEB_ADMIN-48-NEG-AUTH: [Negative/Auth] Get working days for a salon should reject missing auth","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
"","228","WEB_SALON-19-POS-PERF: [Positive/Perf] List own packages should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_salon","","",""
"","196","TC-RP-SEC-SQL-01 [SECURITY] SQL inject in new password: ""' OR '1'='1""","","2026-08-24","passed","2026-08-24","🔒 Reset Password — Tests","","",""
"","915","TC-01: Should get home page data (authenticated)","","2026-08-24","passed","2026-08-24","Authenticated Home API Tests","","",""
"","191","GUEST_HOME-1-POS-PERF: [Positive/Perf] Guest Home API should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for guest_home","","",""
"","233","TC-RV-SC-04 GET admin categories with valid token → 200","","2026-08-24","passed","2026-08-24","📋 Status Code Validation","","",""
"","224","WEB_SALON-24-POS-PERF: [Positive/Perf] Delete gallery image should respond under 2000ms","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_salon","","",""
"","291","TC-CONTACT-02: Admin list contact us messages","","2026-08-24","passed","2026-08-24","📝 Content Management (Blogs, Pages, FAQs, Privacy Policy)","","",""
"","234","TC-CAT-18 [INVALID] Float as ID in path → not 500","","2026-08-24","passed","2026-08-24","📏 Admin Categories — Boundary & Invalid Type Tests","","",""
"","229","TC-CAT-SEC-XSS-02 [SECURITY] XSS in category name: """"><script>alert(1)</""","","2026-08-24","passed","2026-08-24","🛡️ Admin Categories — Security Tests","","",""
"","194","GUEST_SALONS-2-BND-PAG: [Boundary] Best / featured salons, optionally filtered by country should handle extreme pagination","","2026-08-24","passed","2026-08-24","Exhaustive Tests for guest_salons","","",""
"","196","TC-AS-02 [POSITIVE] PATCH general settings → not 500","","2026-08-24","passed","2026-08-24","⚙️ Admin General Settings — Tests","","",""
"","234","WEB_ADMIN-42-SEC-SQL: [Security] Delete a salon should handle SQL injection safely","","2026-08-24","passed","2026-08-24","Exhaustive Tests for web_admin","","",""
